t(tiempo [s]), Qiz(Velocidad angular rueda izquierda), Qde (velocidad angular rueda derecha)
1.0000, -0.0571, -0.5143
2.0000, 0.9143, -1.3714
3.0000, 0.9429, -1.3429
4.0000, 1.2000, -1.5429
5.0000, 1.4571, -1.7429
6.0000, 0.6857, -1.1429
7.0000, 0.6571, -1.1714
8.0000, 0.4000, -0.9714
9.0000, 0.1143, -0.8000
10.0000, -0.1429, -0.6000
11.0000, -0.1429, -0.6000
12.0000, -0.3714, -0.3714
13.0000, -0.3714, -0.3714
14.0000, -0.4000, -0.4000
15.0000, -0.4286, -0.4286
16.0000, 0.1143, -0.8000
17.0000, 1.5714, -2.0857
18.0000, 1.1429, -1.6000
19.0000, 0.9429, -1.3429
20.0000, 0.7429, -1.0857
